Race,Stage,Winner,Team,Date,Continent,Country,Team Status,Class
Great Ocean Road Race,overall,L. Pithie,GFC,1/28/24,Oceania,Australia,WT,one day
Omloop Het Nieuwsblad,overall,J. Tratnik,TVL,2/24/24,Europe,Belgium,WT,one day
Milano-San Remo,overall,J. Philipsen,ADC,3/16/24,Europe,Italy,WT,one day
Strade Bianche,overall,T. Pogacar,UAD,3/2/24,Europe,Italy,WT,one day
Classic Brugge-De-Panne,overall,J. Philipsen,ADC,3/20/24,Europe,Belgium,WT,one day
E3 Saxo Bank Classic,overall,M. van der Poel,ADC,3/22/24,Europe,Belgium,WT,one day
Gent-Wevelgem,overall,M. Pedersen,LTK,3/24/24,Europe,Belgium,WT,one day
Dwars door Vlaandered,overall,M. Jorgenson,TVL,3/27/24,Europe,Belgium,WT,one day
Ronde van Vlaanderen,overall,M. van der Poel,ADC,3/31/24,Europe,Belgium,WT,one day
Paris-Roubaix,overall,M. van der Poel,ADC,4/7/24,Europe,France,WT,one day
Amstel Gold Race,overall,T. Pidcock,IGD,4/14/24,Europe,Netherlands,WT,one day
La Fleche Wallone,overall,S. Williams,IPT,4/17/24,Europe,Belgium,PT,one day
Liege-Bastogne-Liege,overall,T. Pogacar,UAD,4/21/24,Europe,Belgium,WT,one day
Eschborn-Frankfurt,overall,M. van Gils,LTD,5/1/24,Europe,Germany,PT,one day
Classica de San Sebastian,overall,M. Hirschi,UAD,8/10/24,Europe,Spain,WT,one day
Bemer Cyclassics,overall,O. Kooij,TVL,9/8/24,Europe,Germany,WT,one day
Bretagne Classic Ouest-France,overall,M. Hirschi,UAD,8/25/24,Europe,France,WT,one day
Grand Prix Cycliste de Quebec,overall,M. Matthews,JAY,9/13/24,North America,Canada,WT,one day
Grand Prix Cycliste de Montreal,overall,T. Pogacar,UAD,9/15/24,North America,Canada,WT,one day
Il Lombardia,overall,T. Pogacar,UAD,10/12/24,Europe,Italy,WT,one day
Tour Down Under,overall,S. Williams,IPT,1/21/24,Oceania,Australia,PT,stage
Tour Down Under,1,S. Welsford,RBH,1/16/24,Oceania,Australia,WT,stage
Tour Down Under,2,I. Del Toro,UAD,1/17/24,Oceania,Australia,WT,stage
Tour Down Under,3,S. Welsford,RBH,1/18/24,Oceania,Australia,WT,stage
Tour Down Under,4,S. Welsford,RBH,1/19/24,Oceania,Australia,WT,stage
Tour Down Under,5,O. Onley,DFP,1/20/24,Oceania,Australia,WT,stage
Tour Down Under,6,S. Williams,IPT,1/21/24,Oceania,Australia,PT,stage
UAE Tour,overall,L. Van Eetvelt,LTD,1/25/24,Asia,United Arab Emirates,PT,stage
UAE Tour,1,T. Merlier,SOQ,1/19/24,Asia,United Arab Emirates,WT,stage
UAE Tour,2,B. McNulty,UAD,1/20/24,Asia,United Arab Emirates,WT,stage
UAE Tour,3,B. O'Connor,DAT,1/21/24,Asia,United Arab Emirates,WT,stage
UAE Tour,4,T. Merlier,SOQ,1/22/24,Asia,United Arab Emirates,WT,stage
UAE Tour,5,O. Kooij,TVL,1/23/24,Asia,United Arab Emirates,WT,stage
UAE Tour,6,T. Merlier,SOQ,1/24/24,Asia,United Arab Emirates,WT,stage
UAE Tour,7,L. Van Eetvelt,LTD,1/25/24,Asia,United Arab Emirates,PT,stage
Paris-Nice,overall,M. Jorgenson,TVL,3/10/24,Europe,France,WT,stage
Paris-Nice,1,O. Kooij,TVL,3/3/24,Europe,France,WT,stage
Paris-Nice,2,A. de Kleijn,TUD,3/4/24,Europe,France,PT,stage
Paris-Nice,3,UAE (TTT),UAD,3/5/24,Europe,France,WT,stage
Paris-Nice,4,S. Buitrago,TBV,3/6/24,Europe,France,WT,stage
Paris-Nice,5,O. Kooij,TVL,3/7/24,Europe,France,WT,stage
Paris-Nice,6,M. Skjelmose,LTK,3/8/24,Europe,France,WT,stage
Paris-Nice,7,A. Vlasov,RBH,3/9/24,Europe,France,WT,stage
Paris-Nice,8,R. Evenepoel,SOQ,3/10/24,Europe,France,WT,stage
Tirreno-Adriatico,overall,J. Vingegaard,TVL,3/10/24,Europe,Italy,WT,stage
Tirreno-Adriatico,1,J. Ayuso,UAD,3/4/24,Europe,Italy,WT,stage
Tirreno-Adriatico,2,J. Philipsen,ADC,3/5/24,Europe,Italy,WT,stage
Tirreno-Adriatico,3,P. Bauhaus,TBV,3/6/24,Europe,Italy,WT,stage
Tirreno-Adriatico,4,J. Milan,LTK,3/7/24,Europe,Italy,WT,stage
Tirreno-Adriatico,5,J. Vingegaard,TVL,3/8/24,Europe,Italy,WT,stage
Tirreno-Adriatico,6,J. Vingegaard,TVL,3/9/24,Europe,Italy,WT,stage
Tirreno-Adriatico,7,J. Milan,LTK,3/10/24,Europe,Italy,WT,stage
Volta a Catalunya,overall,T. Pogacar,UAD,3/24/24,Europe,Spain,WT,stage
Volta a Catalunya,1,N. Schultz,IPT,3/18/24,Europe,Spain,PT,stage
Volta a Catalunya,2,T. Pogacar,UAD,3/19/24,Europe,Spain,WT,stage
Volta a Catalunya,3,T. Pogacar,UAD,3/20/24,Europe,Spain,WT,stage
Volta a Catalunya,4,M. van den Bjerg,EFE,3/21/24,Europe,Spain,WT,stage
Volta a Catalunya,5,A. Laurence,ADC,3/22/24,Europe,Spain,WT,stage
Volta a Catalunya,6,T. Pogacar,UAD,3/23/24,Europe,Spain,WT,stage
Volta a Catalunya,7,T. Pogacar,UAD,3/24/24,Europe,Spain,WT,stage
